name,braid
12a_1,"[-1,2,-1,2,3,3,-4,-4,3,3,-4,-2,-2,-3]"
12a_2,"[-1,2,-1,2,3,-4,3,3,3,-4,3,-2,-2,-3]"
12a_3,"[-1,2,-1,2,3,-4,-5,3,4,-5,4,3,-2,-2,-3]"
12a_4,"[-1,2,-1,2,-3,-3,2,2,-3,4,-3,4]"
12a_5,"[-1,2,-1,2,3,3,4,-5,2,2,-3,4,-5]"
12a_6,"[-1,2,-1,2,-3,-3,4,2,2,-3,4,4]"
12a_7,"[-1,2,-1,2,3,-4,3,-4,3,-2,-2,-3,-4,-4]"
12a_8,"[-1,2,-1,2,-3,4,2,2,-3,-3,-3,4]"
12a_9,"[-1,2,-1,2,-3,-4,5,3,-4,2,5,2,-3]"
12a_10,"[-1,2,-1,2,3,4,4,5,3,-4,-2,5,-2,-3,5]"
12a_11,"[-1,2,-1,2,3,-4,-4,3,-4,-2,-4,-2,-4,-3]"
12a_12,"[-1,2,-1,-2,-3,-3,-2,-2,3,4,-5,-3,4,-5,4]"
12a_13,"[-1,2,-1,2,3,-4,3,3,-4,3,-4,-2,-2,-3]"
12a_14,"[-1,2,-1,2,3,-4,3,-4,3,-4,-2,-4,-2,-3]"
12a_15,"[-1,2,-1,2,3,-4,3,3,-4,3,-2,-2,-3,-4]"
12a_16,"[-1,2,-1,2,-3,4,-3,4,-3,2,2,-3]"
12a_17,"[-1,2,-1,2,-3,4,4,-3,4,2,2,-3]"
12a_18,"[-1,2,-1,2,3,3,3,-4,3,-4,3,-2,-2,-3]"
12a_19,"[-1,2,-1,2,3,-4,3,-4,-4,-4,3,-2,-2,-3]"
12a_20,"[-1,2,-1,2,3,3,3,-4,-4,3,-4,-2,-2,-3]"
12a_21,"[-1,2,-1,2,3,3,4,4,3,3,-4,2,2,-3]"
12a_22,"[-1,2,-1,2,3,-4,-5,3,4,-5,-4,3,-2,-2,-3]"
12a_23,"[-1,2,3,-4,-5,-2,-4,1,3,-4,3,5,-4,-2,1,3,-2]"
12a_24,"[-1,2,-1,2,-3,4,2,2,-3,4,4,4]"
12a_25,"[-1,2,-1,2,3,4,-5,-3,4,-5,4,3,-2,-2,-3]"
12a_26,"[-1,2,-1,2,3,-4,-4,-4,-4,3,-4,-2,-2,-3]"
12a_27,"[-1,2,-1,2,3,-4,-5,4,-5,-4,3,-4,-2,-2,-3]"
12a_28,"[-1,2,-1,2,3,-4,5,3,-4,2,5,2,-3]"
12a_29,"[-1,2,-1,2,-3,-4,-4,-3,2,2,-3,4,-3,-4]"
12a_30,"[-1,2,-1,2,3,-4,-4,3,3,3,-4,-2,-2,-3]"
